Package,License,Repository,LicenseFile
@esbuild/win32-x64@0.25.2,MIT,https://github.com/evanw/esbuild,C:\Users\user\dev\lifeGame_0\node_modules\@esbuild\win32-x64\README.md
@eslint-community/eslint-utils@4.6.0,MIT,https://github.com/eslint-community/eslint-utils,C:\Users\user\dev\lifeGame_0\node_modules\@eslint-community\eslint-utils\LICENSE
@eslint-community/regexpp@4.12.1,MIT,https://github.com/eslint-community/regexpp,C:\Users\user\dev\lifeGame_0\node_modules\@eslint-community\regexpp\LICENSE
@eslint/config-array@0.20.0,Apache-2.0,https://github.com/eslint/rewrite,C:\Users\user\dev\lifeGame_0\node_modules\@eslint\config-array\LICENSE
@eslint/config-helpers@0.2.1,Apache-2.0,https://github.com/eslint/rewrite,C:\Users\user\dev\lifeGame_0\node_modules\@eslint\config-helpers\LICENSE
@eslint/core@0.12.0,Apache-2.0,https://github.com/eslint/rewrite,C:\Users\user\dev\lifeGame_0\node_modules\@eslint\core\LICENSE
@eslint/core@0.13.0,Apache-2.0,https://github.com/eslint/rewrite,C:\Users\user\dev\lifeGame_0\node_modules\@eslint\plugin-kit\node_modules\@eslint\core\LICENSE
@eslint/eslintrc@3.3.1,MIT,https://github.com/eslint/eslintrc,C:\Users\user\dev\lifeGame_0\node_modules\@eslint\eslintrc\LICENSE
@eslint/js@9.24.0,MIT,https://github.com/eslint/eslint,C:\Users\user\dev\lifeGame_0\node_modules\@eslint\js\LICENSE
@eslint/object-schema@2.1.6,Apache-2.0,https://github.com/eslint/rewrite,C:\Users\user\dev\lifeGame_0\node_modules\@eslint\object-schema\LICENSE
@eslint/plugin-kit@0.2.8,Apache-2.0,https://github.com/eslint/rewrite,C:\Users\user\dev\lifeGame_0\node_modules\@eslint\plugin-kit\LICENSE
@humanfs/core@0.19.1,Apache-2.0,https://github.com/humanwhocodes/humanfs,C:\Users\user\dev\lifeGame_0\node_modules\@humanfs\core\LICENSE
@humanfs/node@0.16.6,Apache-2.0,https://github.com/humanwhocodes/humanfs,C:\Users\user\dev\lifeGame_0\node_modules\@humanfs\node\LICENSE
@humanwhocodes/module-importer@1.0.1,Apache-2.0,https://github.com/humanwhocodes/module-importer,C:\Users\user\dev\lifeGame_0\node_modules\@humanwhocodes\module-importer\LICENSE
@humanwhocodes/retry@0.3.1,Apache-2.0,https://github.com/humanwhocodes/retry,C:\Users\user\dev\lifeGame_0\node_modules\@humanfs\node\node_modules\@humanwhocodes\retry\LICENSE
@humanwhocodes/retry@0.4.2,Apache-2.0,https://github.com/humanwhocodes/retry,C:\Users\user\dev\lifeGame_0\node_modules\@humanwhocodes\retry\LICENSE
@jridgewell/sourcemap-codec@1.5.0,MIT,https://github.com/jridgewell/sourcemap-codec,C:\Users\user\dev\lifeGame_0\node_modules\@jridgewell\sourcemap-codec\LICENSE
